houseid,property_type,beds,baths,sqft,lot_size,year_built,zipcode,latitude,longitude,list_price
2,Townhouse,2.0,2.5,2527.0,2467.0,2001.0,77007,29.7686065,-95.399399,479000
4,Townhouse,1.0,1.5,1450.0,750.0,2014.0,77019,29.7518498,-95.3838739,310000
9,Townhouse,3.0,3.5,1966.0,2436.0,2020.0,77057,29.7368699,-95.4825235,559998
10,Townhouse,2.0,2.5,1436.0,210654.0,1979.0,77063,29.73055,-95.5401969,155000
11,Townhouse,3.0,3.5,2693.0,1420.0,2014.0,77007,29.778938,-95.4196824,540000
12,Townhouse,2.0,2.5,1428.0,162366.0,1982.0,77063,29.7221999,-95.5364355,180000
14,Townhouse,2.0,2.0,950.0,1006.0,1968.0,77043,29.78621,-95.581534,155000
15,Townhouse,3.0,3.5,1961.0,,2022.0,77057,29.7366431,-95.4824091,555998
16,Townhouse,3.0,2.5,1385.0,1302.0,2022.0,77080,29.807742,-95.511869,319900
18,Townhouse,3.0,2.5,1945.0,,2022.0,77433,29.881141,-95.726137,309990
22,Townhouse,3.0,3.0,1728.0,1591.0,1974.0,77489,29.606262,-95.4957189,140000
23,Townhouse,2.0,2.5,1462.0,827.0,2022.0,77080,29.81782,-95.508753,375000
24,Townhouse,3.0,2.5,1385.0,1302.0,2022.0,77080,29.807742,-95.511812,319900
25,Townhouse,3.0,3.0,1952.0,1668.0,2008.0,77023,29.7411883,-95.3393592,385000
28,Townhouse,3.0,2.5,1518.0,835.0,1970.0,77043,29.813987,-95.549843,185000
29,Townhouse,2.0,2.0,1155.0,215924.0,1982.0,77077,29.7410562,-95.5884817,164900
30,Townhouse,3.0,2.5,1846.0,815.0,1970.0,77043,29.814466,-95.548233,264900
31,Townhouse,3.0,3.5,1961.0,,2022.0,77057,29.7364313,-95.4825036,569998
32,Townhouse,3.0,3.5,1961.0,1956.0,2022.0,77057,29.736713,-95.482299,569998
33,Townhouse,3.0,2.5,2782.0,2942.0,1993.0,77005,29.7064418,-95.4295262,675000
34,Townhouse,3.0,2.5,1667.0,,2022.0,77433,29.881334,-95.725845,279990
35,Townhouse,3.0,2.5,1667.0,,2022.0,77433,29.881334,-95.725845,282990
36,Townhouse,3.0,2.5,2473.0,3942.0,1992.0,77056,29.7302458,-95.4741972,540000
37,Townhouse,3.0,2.5,1667.0,,2022.0,77433,29.881334,-95.725845,282990
39,Townhouse,3.0,3.5,2239.0,,2020.0,77004,29.7394262,-95.3651577,500000
40,Townhouse,3.0,2.5,1667.0,,2022.0,77433,29.881334,-95.725845,279990
41,Townhouse,3.0,2.5,1667.0,,2022.0,77433,29.881334,-95.725845,279990
45,Townhouse,2.0,2.5,1812.0,,1978.0,77077,29.7400396,-95.5832627,220000
46,Townhouse,3.0,2.5,1274.0,1629.0,2022.0,77379,30.042235,-95.49113,259900
48,Townhouse,3.0,3.5,2208.0,,2022.0,77020,29.7691725,-95.3341253,525000
49,Townhouse,3.0,3.5,2648.0,1384.0,1998.0,77019,29.7489833,-95.4069282,525000
51,Townhouse,3.0,3.5,2302.0,1779.0,1999.0,77006,29.7408008,-95.3956043,549900
52,Townhouse,3.0,2.5,2082.0,1448.0,1976.0,77079,29.780987,-95.5960011,229000
53,Townhouse,2.0,1.5,1230.0,411301.0,1965.0,77035,29.654127,-95.477651,130000
55,Townhouse,2.0,2.5,1560.0,,1979.0,77019,29.7541551,-95.4075768,324900
56,Townhouse,3.0,3.5,2134.0,2200.0,2001.0,77007,29.7719216,-95.4200696,400000
57,Townhouse,2.0,2.0,1556.0,2242.0,1999.0,77014,29.9935592,-95.4825941,185000
63,Townhouse,2.0,1.5,1260.0,136254.0,1969.0,77079,29.7796718,-95.5653358,215000
64,Townhouse,3.0,2.5,1752.0,1332.0,1980.0,77030,29.7009181,-95.4188747,360000
73,Townhouse,3.0,2.5,2194.0,1698.0,2002.0,77025,29.6775094,-95.4357097,315000
78,Townhouse,4.0,3.0,2113.0,1450.0,2022.0,77051,29.6661962,-95.3566473,350000
84,Townhouse,2.0,2.5,1558.0,1212.0,1972.0,77098,29.733447,-95.421578,349000
86,Townhouse,4.0,3.5,4172.0,2602.0,2001.0,77006,29.7448052,-95.4008159,799000
